SMILES,test
CCCCCCC1=NN2C(=N)/C(=C\c3cc(C)n(-c4ccc(C)cc4C)c3C)C(=O)N=C2S1,0
COCC[C@@H](C)C(=O)N(C)Cc1ccc(O)cc1,0
C=CCn1c(S[C@H](C)c2nc3sc(C)c(C)c3c(=O)[nH]2)nnc1C1CC1,0
C[NH+](C/C=C/c1ccco1)CCC(F)(F)F,0
COc1ccc(N2C(=O)C(=O)N(CN3CCC(c4nc5ccccc5s4)CC3)C2=O)cc1,0
Cc1ccc([C@@H](C)[NH2+][C@H](C)C(=O)Nc2ccccc2F)cc1,0
O=c1cc(C[NH2+]Cc2cccc(Cl)c2)nc(N2CCCC2)[nH]1,0
O=C(Cn1nc(C(=O)[O-])c2ccccc2c1=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,0
O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1cc(F)c(F)cc1Cl,0
CC(C)Cc1nnc(NC(=O)C(=O)NCCC2CCCCC2)s1,0
C[C@H](NC(=O)[C@@H](O)c1ccccc1)c1nnc2ccccn12,0
O=S(=O)(Nc1cc(F)ccc1F)c1ccc(Cl)cc1F,0
CSc1cc(C(=O)N2c3ccccc3NC(=O)C[C@@H]2C)ccn1,0
CCCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2[C@H]1c1ccc(C)cc1,0
CC[S@@+]([O-])[C@@H]1CCC[C@H](NC(=O)N(Cc2cccs2)C2CC2)C1,0
C[C@@H](c1ccco1)[NH+](Cc1ncc(-c2ccccc2)o1)C1CC1,0
COc1ccc(Cc2nnc(SCC(=O)N3CCC[C@@H](C)C3)o2)cc1,0
O=C(/C=C/c1ccc2c(c1)OCO2)NC[C@@H]1C[NH+]2CCN1CC2,0
COc1ccccc1/C=C/C=C(\C#N)C(=O)Nc1ccc(C(=O)N(C)C)cc1,0
Cc1cccc(NC(=S)N2CC[NH+](C)CC2)c1C,0
CNC(=O)c1cc(NC(=O)N2C[C@H]3CCC[NH+]3C[C@H]2C)ccc1F,0
CCCc1ccc([C@@H]([NH3+])C(OC)OC)cc1,0
[NH3+]C[C@H](c1cc(Cl)cs1)N1CC[C@@H]2CCCC[C@@H]2C1,0
CC(C)CN(CC(C)C)C(=O)NCC(C)(C)N1CCOCC1,0
COc1cc(C(=O)N[C@H]2C[C@H]2c2cccc(Cl)c2)cc(OC)c1OC,0
COCCNC(=O)c1cccc(N2CC[NH2+][C@@H](c3ccccc3)C2)n1,0
Cc1ccc(-c2cc(OCC(=O)[O-])nc(NCc3ccc4c(c3)OCO4)n2)cc1,0
COc1cccc(NC2CC[NH+](C[C@@H](O)CN3C[C@H](C)O[C@@H](C)C3)CC2)c1,0
CC(C)[C@H](NC(=O)Nc1ccccc1)C(=O)NCc1ccco1,0
O=C(Nc1ccccn1)N1CCC(n2cc[nH+]c2)CC1,0
Cc1cc(C)cc([C@H]2OCC[C@H]2C[NH2+]C(C)C)c1,0
C[C@H]1CSC(NC[C@]2(C)CCCO2)=[NH+]1,0
Cc1ccc(O)c(Cc2ccccc2Cl)c1,0
O=C1CCCC2=C1[C@H](c1ccc([N+](=O)[O-])o1)n1nnnc1N2,0
C=CCS/C(N)=C(C#N)/C(C#N)=C(\N)SCC=C,0
