sample0,sample1,sample2,sample3,sample4
COCCc1nnc2c3cnn(-c4ccc(F)cc4)c3ncn12,CCOC(=O)c1ccc(NCCNC(C)=O)c(Br)c1,COC(=O)C(C)(C)NC(=O)Cc1ccc[nH]1,Cc1cc(C(=O)N(C)CCSc2cccc(C#N)c2)on1,COC(=O)N1CCN(CC(=O)Nc2cccc(C)c2)CC1
Cc1ccc(-c2onc(C)c2CN(C)C(=O)c2ccccn2)cc1,COC1CCN(c2cc(C(N)=O)ccn2)C1Cc1ccc(F)cc1F,CCc1ccc(F)cc1C(=O)Nc1ccccc1-n1nc(C)cc1C,Cc1nn(-c2nccnc2Nc2ccccc2C#N)c(C)c1N(C)C,Cc1nn(C)c(C)c1-c1ccccc1NCCC(=O)Nc1ccc(Cl)cc1
CCc1nnsc1CNC(Cc1ccco1)c1ccccn1,CCN(C(C)=O)C(=O)c1cc(SCC2CCCC2)nc2ccccc12,CNC(=O)c1cccc(S(=O)(=O)CC(=O)NN2CCCC2=O)c1,CCCCCN(CC(F)(F)F)N(C)c1cccc(N)c1,CCOC(=O)c1cnn(CCOn2nnc3ccccc32)c1
O=C(Cc1ccnc(-c2ccc(Cl)cc2)n1)N1CCCc2ccccc21,CCOCCc1ncc(-c2nnnn2Cc2cccs2)s1,O=C(CCNC(=O)c1cc(Br)c[nH]1)NC1CCCC1,Cc1cc(Br)ccc1NCC(=O)NC1CCC(C)CC1,Cc1cc(C(=O)Nc2ccc3c(c2)CCC(=O)N3)nn1C
CC1=Nc2ncnn2C(O)C1NC(=O)Cn1cc(CC(C)C)nn1,Cc1nc(CC(=O)N(C)Cc2ccc(F)c(F)c2)n[nH]1,CCN(c1cc(C(=O)c2ccccc2)sc1C)C(C)C,Cc1cccc(C)c1C(O)CCN1CCN(c2ncccn2)CC1,Cc1nc(NC(=O)c2ccc(=O)[nH]c2)sc1-c1ccc2c(c1)OCCO2
Cc1cc(C(=O)N2CCC(CCC(C)C)C2)on1,O=C(c1ccc[nH]1)N1CCC(NC2CCCC2)CC1,O=C1CCC(C(=O)Nc2cccc(-c3nc[nH]n3)c2)CN1,CCOC(=O)NCC(=O)Nc1cc(Cl)ccc1OC,CCOc1ccc(NC(=O)c2cccc3ccoc23)cn1
COCc1nc2scc(-c3ccc4n[nH]nc4c3)c2c(=O)[nH]1,CCOC(=O)CN1CC(C)Oc2ccc(C)cc21,CC(C)NC(=O)CNc1cccc(S(=O)(=O)OC(C)C)c1,Cc1ccc(-c2ccc(C(=O)OCCNc3cccnc3)cc2)s1,CCS(=O)(=O)NCCc1ccc2ccccc2c1
COCCNC(=O)c1ccc(Cl)c(NC(=O)NCc2cc(-c3ccccc3)no2)c1,CC(=O)c1cccc(SCCNC(=O)Cc2ccccc2)c1,NC(=O)c1ccnc(-n2c(=O)c3cccn3c3cccnc32)c1,CCCN(Cc1noc(C)n1)C(=O)c1ccc(Br)cc1,CC(C)CC(C)OC(=O)Nc1cc(C#N)ccc1NC(C)C
Cc1nn2cc(-c3ccnc(SC(F)F)n3)nc2s1,Nc1ccccc1NCc1ccc(Cc2n[nH]c(=O)[nH]2)cc1,Cc1ccc2ncccc2c1NC(=O)c1cn(C)nc1CO,COC(=O)C(NC1CC2C(=O)N3CCCC3C(=O)N2C1)C(C)C,O=C(CCNC(=O)c1cc2ccccc2o1)Nc1ccc(C(F)(F)F)cc1
Cc1ccc(C(=O)Oc2ccccc2F)cc1N1CCCNC1=O,CC(NC(=O)CSc1ccncc1)Oc1cc(C2CC2)ccn1,CN(CC(=O)c1cccs1)C(=O)c1cccc(O)c1,CN(C(=O)C1CCCN(c2c(F)cccc2F)C1)C1CC1,CC(C)c1ccc(NC(=O)c2nccn2N(C)C)cc1N
COc1ccc(CNC(=O)CNc2ncnc3ncccc23)cc1,Cn1ncc(Cn2cccn2)c1-c1nc(=O)cc[nH]1,COCC(C)(C)NC(=O)CNC(=O)c1ccc2c(c1)OCCO2,CC(NC(=O)c1cc(F)ccc1F)C(=O)Nc1cccs1,CS(=O)(=O)N1CCCC(OCCOc2ccccc2F)C1
CSCC(C)CNC(=O)Nc1cnn(Cc2ccccc2)c1,CCCC(=O)NCC(=O)N1CCN(C(=O)C2CCOCC2)CC1,Cc1cc(NC(=O)C(C)NC(N)=O)ccc1OCCc1ccncc1,COC(=O)c1csc(NCCC(F)(F)F)n1,CN1C(=O)COC2CN(CNS(C)(=O)=O)CC21
CNC(=O)Cc1ccc(OC(=O)N(C)c2ccc3c(c2)OCO3)cc1,CC(C)(C)c1csc(Nc2ccccc2Br)n1,O=C(CCN1CCn2ncnc2C1)NC1c2ccccc2CC1O,Cc1ccn(C)c(=O)c1NC(=O)Nc1ccccc1C(C)C,CC(C)(C)NS(=O)(=O)Nc1ccccc1C(=O)c1cccc(O)c1
Cc1noc(C)c1C(C)NCC1NCCc2c(F)cc(F)cc21,Nc1ccccc1NCc1ccc(F)cc1,O=C(c1c[nH]c(Cc2nc3ccccc3[nH]2)c1)c1ncccc1O,CC(C)C(=O)N1CCCC1C(=O)NCCc1ccc(F)cc1,CCS(=O)(=O)N1Cc2cncn2CC(Cc2c(C)[nH]c3ccccc3c2=O)C1
COn1c(-c2ccc(Cn3nc4c(cc3=O)COCC4)cc2)nc2ccccc2c1=O,CCCCCNC(=O)NCC(C)N1CCc2nnc(C)n2CC1,CC(C)NC(=O)c1cccnc1-c1cc(F)ccc1F,N#Cc1cccc(OCC(=O)NCc2cccc(N3CCCC3)c2)c1,Cc1ncc(Nc2ccc3nc4ccccc4nc3c2)o1
CCNC(=O)c1ccc(N(C)S(=O)(=O)c2ccsc2)cc1,CCCNC(=O)c1cn(C)nc1NC(=O)c1cccc2ccccc12,Cc1cc(NC(=O)c2csc(-c3ccccc3)n2)on1,Cc1noc(-c2nc(CC(=O)Nc3ccc(C#N)c(Cl)c3)nc3nn(C)cc23)n1,CCn1ncc2c(C(C)C(C)=O)cc(-c3ccco3)nc21
COc1ccc(Cl)cc1-c1c(C)nn(C)c1NCC1CCCO1,Cc1ccc(C(=O)Nc2cc(Cl)ccc2CCn2cncn2)cc1,COCCCNCc1noc2c1CN(c1ccccc1)CC2,CCOCC(=O)Nc1ccc(Cc2nccc(C3CC3)n2)cc1,COc1cccc(OCC(=O)N2CCCCC2C2CC2)c1
CCCN(Cn1ccnn1)S(=O)(=O)C(C)C,COc1ccnc(C(=O)NC(C(C)C)N2CC(C)OC(C)C2)c1,CN(CCc1nccs1)Cc1ccnc(C2CC2)c1,Nc1ccsc1C(=O)Nc1cccc2ccccc12,CCN(C(=O)CNCCO)S(C)(=O)=O
CC(C)CC(=O)NC(=O)c1nc(NC2CC2)ccc1Cl,COc1ccc(CNC(=O)Cc2ccc(F)c(F)c2)c(OC)c1,CNCC(NC(=O)c1ccccc1Oc1ccccc1F)c1ccccc1,O=C(NCc1ccccc1Nc1ccccc1F)c1ccncc1,CC(C)Oc1cccc(C(=O)Nc2ccc(F)cc2)n1
CC(Sc1n[nH]c(N)n1)C(=O)OCC(F)(F)F,COC(=O)COc1ccccc1-n1nc(C(F)(F)F)c2c1CCNC2,CCOCCC(=O)Nc1ccc(Nc2c[nH]c(=O)c(C)c2)cn1,O=C(NC(c1nc2ccccc2n1O)C1CCCC1)C1CC1,Cc1cc(C)c(NC(=O)c2[nH]nc(-c3ccccn3)c2Br)[nH]1
N#Cc1cccc(CNCCOC(=O)Nc2ccc(F)cc2)c1,O=C(CNC1CC1)OCc1ccc(CC(F)(F)F)cc1,CCCn1nc(CC(=O)Nc2ccccn2)ccc1=O,CCC(CC)n1nc(CC(=O)N2CCCC(C)CC2)cc(N)c1=O,CC(=O)Nc1ccc(C(=O)OCc2cn3c(C)cc(C)nc3n2)cc1
C#Cc1ccc(NC(=O)C2(CCOCCC)CC(F)C2)cc1,COC(=O)c1ccc(-n2nnc(C(C)=O)c2C2CCC2)cc1,O=C(Cc1ccccc1F)NC(=O)CN1CCN(c2ccccc2)CC1,CC1CN(Cc2ncncc2-c2cccc(Cl)c2)CCO1,Cc1ccc(OCC(=O)N(Cc2ccccc2C)S(C)(=O)=O)cc1
O=C(NCc1ccc(C(=O)n2cnnn2)cc1)c1cccs1,CCc1[nH]c(C(=O)NCC2CCCO2)c(C)c1C#N,CC(NS(C)(=O)=O)C(=O)Nc1cccc(C#N)c1,Cc1ccnc(NC(=O)c2ccc(-c3ccc4nc(C)oc4c3)cc2)c1,CC(O)N(CCOc1ccc(F)cc1)C(=O)C1CCC(=O)N1
CC(C)Cn1cc(NC(=O)NCCc2ccccc2)ccc1=O,CCc1cc(OCC(=O)Nc2cccc(-c3noc(C)n3)c2)ccc1C,CC(C)C(NC(=O)N1CCC1)C(=O)c1ccccc1,C=CCNc1cc(C(C)C)nc2nc(C(C)(C)C)nn12,CN(Cc1ncn(-c2ccccc2)c(=O)c1Cc1ccco1)C1CC1
CCc1nnc(-c2cc(C(C)(C)C)c3c(C)nn(CN)c3n2)c(OC)c1OC,CC(C)(C)C(=O)c1ccc(F)c(OCC2CCOCC2)c1,Cc1csc(NC(=O)c2cccc(S(=O)(=O)N3CCCC3)c2)n1,Cc1ccsc1CN1CCCC(NCc2ccccc2)C1,Cc1cc(N)n(-c2noc(C(=O)NCc3ccc(F)cc3)n2)n1
CCOCCOc1nc2c(cc1C(=O)c1ccc(C)s1)CCC2,Cc1sc(N)nc1C(O)CCCC(N)=O,Cc1cccc(CC(=O)NCC(=O)N(C)c2cccc(N)c2)c1,O=C(NCc1cccnc1)C1CC(=O)N(Cc2cnc(C3CC3)s2)C1,CCS(=O)(=O)Nc1cccc(C(C)NC(=O)c2cnn(C)c2)c1
O=C(Oc1cccnc1)N1CCN(C(=O)c2ccc(F)cc2)CC1,N#CCCC(C#N)CSc1nc(C(F)(F)F)cn1N,CCC(C)(C)NC(=O)C1CCN(C(=O)Oc2ccc(Cl)cc2)C1,NC(=O)c1cccc(NC(=O)N2CCN(c3ncc(C4CC4)[nH]3)CC2)c1,CCn1c(=O)[nH]c2c(C(=O)C3CC3)nc(C3CCCCC3)nc21
