sample0,sample1,sample2,sample3,sample4
CSCC(=O)Nc1ccc(C(=O)NC2CC[NH+]([C@@H]3CCN(c4ccc(C)o4)C3=O)CC2)cc1,Cc1cc(C)nc(N(C(=O)Nc2ccc3c(c2)ncn3C(C)C)C2CC2)n1,C[C@H](O)[C@H](C(=O)[O-])S(=O)(=O)OC(=O)Oc1ccc(Nc2cccc(-c3nc4ccccc4c(=O)o3)c2)cc1,C[C@H]1C[C@H](C(=O)O[C@@H](C)C(N)=O)CC(C)(C)C1,CCC(=O)[NH+](CC)c1ccccn1
COCC[C@H](C)C(=O)N1CCc2c(F)ccc(F)c2C1,CCc1cccc(Oc2n[n-]c(C3CCN(NC(=O)c4cnc5c(cnn5OC)c4)CC3)n2)c1,C[C@@H]([NH3+])Cc1ccc([C@H](O)CC#N)cn1,Cc1ccnc(N[C@H]2CC[NH+](N3CCC4(CC3)OCCO4)C2)n1,CCCCCCOCc1nc2c(c(=O)c3ccccc3n2C)c(=O)n1-c1cc(CC)cc(N(C)C)c1
C/C(=C\C(=O)N[C@@H]1CCc2ccccc2C1)NNC(=O)c1ccc2[nH]c(=O)[nH]c2c1,Cc1cc2nc(C(=O)N[C@H]3CSCN3c3ncnc4ccccc34)cc(C)n2n1,CCNc1ccccc1C[NH2+][NH+]1CCCCC1,Cc1cc(OC(=O)C2=C3N=C4CCCCCC4=C3S[C@@H]2C)nn1CCc1ccccc1,Cc1cccc(-c2cc(NC(=O)N3CCN(c4cccc(OC(=O)[C@H]5CCO[C@@H]5C)c4)CC3)ncn2)c1-c1cccc(Br)c1
O=C(C[NH+]1CCN(N2CCCSc3ccccc32)CC1)c1ccccc1,COC(=O)[C@@H](NCc1ccc(Oc2ccc(F)c(F)c2)cc1)C1CCN(C)CC1,Nc1cc([N-]c2ccc(SCc3ccccc3Cl)nn2)ccc1[N+](=O)[O-],C[NH+](Cc1ccc(Cl)cc1)C(=O)NCCS(=O)(=O)c1ccccc1,Cc1nsc([C@H](O)[C@H](C)C[NH3+])c1[N+](=O)[O-]
Cc1c(OC=O)c2c(n1NC[C@@H](C#N)C(=O)Nc1cc(O)c3ccoc3c1)CCCC2=O,CN1CCN(C(=O)c2cccc3nsnc23)[C@H](c2cccc(F)c2)C1,O=C(NCc1ccccc1C(F)(F)F)NC(=S)Nc1ccccc1,COc1ccc2cc(C(=O)C(=O)Nc3cccc4ccc(C)nc34)[nH]c2c1,C[C@H](Cn1ccc2ccc(C(=O)[O-])cc21)[C@@H](C)O
C/C=C(\C=C\C(=O)N1CCN(C[C@]2(n3cccn3)CCc3ccccc32)CC1)CC,COC[C@](C)(O)Cc1ccc(NC(=O)Cn2ncc3ccccc32)cn1,COc1cccc(CC[C@@H](O)[C@@H](C)c2ccccc2I)c1,COc1cc(C(N)=O)ccc1OCN1CCN(C(=O)c2c(C)cc(C)c([N+](=O)[O-])c2C)CC1,CC(=O)c1ccc(N2CCC(CN[C@@H]3CCN(C)C3=O)CC2)c(F)c1
COCCNC(=O)c1nnc(Nc2cc(C)nn2-c2ccc(C)cc2)s1,O=C(Nc1ccc(CNCCO)cc1)C1CC1,Cc1cc(Cl)ccc1NCC(=O)N1C(=O)NC(C)(C)C1=O,C[C@@H](CCC[NH3+])Nc1cc(-c2cccc3c2C(=O)c2ccccc2C3=O)ccc1O,CCC[C@@H](CN1CCCC[C@@H]1COc1c(C)nn(-c2ccccc2)c1C)[C@H](C)CC
COc1ccc(Cl)c(OCCNC(=O)CCC[C@H]2CC[NH+](C)C2)c1,Cc1csc(CCNC[C@H]2CC(=O)N([C@H](C)c3cc(Br)ccc3C[C@@H](C)C#N)C2)n1,C[C@H](c1cc(C(=O)N[C@H]2CCOC2)c[nH]c1=O)C1(O)CC[NH+](OC2CC2)CC1,CC(C)c1nn(C)c2sc(C(=O)N(C)CCOCCc3ccccc3)cc12,O=S(=O)(c1ccc(Cl)cn1)N1CCN(c2cccs2)CC1
N#Cn1ccn(C[C@@H](O)Cc2ccccc2)c(=O)c1=O,Cn1cnnc1C(=O)Nc1cccc2ccccc12,COc1cc2[nH]nc(-c3ccc(Br)cn3)c2cc1C(=O)N1CCC[C@H]1Cc1ccccc1,COc1ccc(S(=O)(=O)N2CCN([C@@H]3CS[C@@H](C)C3)CC2)cc1C(C)C,Cc1ccc(-n2nc(CC(=O)N3CCN(C)CC3)nc2Cl)cc1
COc1ccc(C[N-]c2ccccn2)cc1S(=O)(=O)c1ccc(-c2ccc(Br)cc2)o1,COC(=O)[C@@H]1Nc2c(OC)ccc(Nc3cc(C)sc3C)c2[C@@H]2C=CC[C@@H]12,O=C(N1CCN(c2ccccc2)CC1)C1(C2CCOCC2)CCCCC1,Cc1csc(NC(=O)OCCC(C)(C)O)c1,COC(=O)[C@H]1[NH+]=c2cccc(OC)c2=C1N1CCC[C@@H]1Nc1ccc2c(c1)CCCC2
COc1ccc(-n2nnc3c(=O)n(CNc4cccc(-c5ccsc5)c4)cnc32)cc1,COC[NH+]1CCCN(c2ncnc(SCCCC(=O)[O-])c2N)CC1,Cc1n[nH]c(C)c1CN(Cc1ccc(OCCO)[nH+]c1)[C@@]1(C)CCCO1,C[C@H](O)CCc1cc(Oc2ccccc2)ccc1S[C@@H](C)C(=O)N1CCCC1,COc1ncc(C[C@@]2(C(=O)CO)CCC(C)(C)[C@H]2O)cc1Cl
Cc1n[nH]c(-c2cccs2)c1C(=O)N1CC[NH+](CC(C)C)CC1,Cc1cc(-c2cnc(CC3=Cc4ccccc4OC3)nc2-c2ccccc2)on1,Cc1cc2ccccc2n1COCC(=O)NNC(=O)c1cnsn1,CCOc1cccc(-c2ccc(NN3CCCc4cc(C)ccc43)cn2)c1O,CN(C)Cn1c(Sc2ncnc3c2sc2nc(N4CCOCC4)c4c(c23)CC(C)(C)OC4)nc2ccc(Cl)cc2c1=O
CCc1ccc(Cc2ccc(F)cc2)cc1NC(=S)N[C@H]1C=C(C)N=N1,c1ccc([C@H](C[NH2+]Cc2nc3c(s2)CCC3)C[C@@H]2CCCO2)cc1,COC1CCN([C@@H](c2ccco2)c2c[nH+]c3n2[C@H](C)CCC3)CC1,CCC[NH+](C(C)C)n1c([C@@H](C)c2ccccc2)nc2cccnc21,CC(=O)c1ccc(N=C2SCCCN2C(=O)c2ccc(O)cc2)cc1
COn1c(-c2cn(-c3ccccc3)c3ccccc23)nnc1[C@@H](C)c1ncccn1,O=C(Cn1c(=O)cnc2ccccc21)c1ccc2[nH]nnc2c1,CN1CCO[C@H](C(=O)Nc2nc3ccccc3nc2Nc2ccccc2O)C1,COc1ccc([C@H](Cl)[C@H](C)c2cc(F)c(C)cc2F)cc1,CN(Cc1ccccc1)[C@H]1[C@@H]2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]2[C@H]2C=CC=NN21
Cc1cc(SCC(=O)c2ccc(N(C)C)cc2)n(-c2nc(-c3cccnc3)cc(=O)[nH]2)n1,CCC(C)(C)C(=O)NN1C(=O)C(C)(C)NC(=O)[C@@H]1c1ccc(Br)cc1Cl,C[C@H]1C[C@H]1NC(=O)Nc1cc(Cl)c(Cl)cc1C(N)=O,CC(C)CCOC[C@H]1Nc2c(C(=O)N3CCC(C)CC3)cccc2[C@H]2C=CC[C@@H]21,COc1ccc([C@@H]2NC(=O)NC(C)=C2C(=O)n2cnc(C)c2C)c2ccccc12
CCc1ccc(NC(=O)C(=O)NC[C@@H](C)CCO)cc1,COc1ccc(Cl)cc1S(=O)(=O)NC[C@@](C)(O)CCCCO,Cc1cc2occ(CN3CCC[C@H](C)C3)c2cc1C,CCc1cc2c(s1)SCC(=O)N2C[NH+](C)CC(N)=O,Cc1ccc(-c2ccc(C(=O)N[C@H](C)c3c(C)n(C)n(Sc4nc5ccccc5s4)c3=O)o2)o1
Cc1nc(NC(=O)C(=O)NCCNCCC(N)=O)nn1C,COC(=O)[C@@H](C)N1CCN(C(=O)Nc2cccc(C)c2C)CC1,Cc1ccc(C[C@@H](C)OC(=O)Nc2nc(C)c(C)n2-c2ccccc2)c(C)c1,COn1c(=O)c2ccccc2n(CC(=O)N2CCN(Cc3ccccc3-c3cccnc3)CC2)c1=O,COc1ccc2c(c1)CCC[C@H]2NC(=O)C1CC[NH+](Cc2cccc(CC(F)F)c2)CC1
COc1ccc(OC)c(C(=O)[C@@H]2CCCCN2S(=O)(=O)c2csnn2)c1,CN1C(=O)CCc2cc(NC(=O)CC(=O)NCN3C[C@H](c4ccccc4)CC3=O)ccc21,C=CCCO[C@@H]1CCCc2occc21,CC(C)=CC[C@@H](C)[NH2+]c1cc(F)ccc1Br,C[C@H]([NH2+][C@H](CO)NCC(F)(F)F)c1ccn(-c2ccc(F)cc2)c1
COc1ccc(N[C@@H](C)/C(N)=N/O)cc1Br,CC(C)CN1CCN(C(=O)N2CCCC[C@H]2CNc2nc(C3CCCC3)cs2)CC1,O=C(COc1nc2cc(Cl)ccc2o1)NCNc1ccc(C2CC2)cc1,COCNC(=O)c1c(Cc2ccccc2)nn(C2CC2)c1C,CCC(C)(CC)NC(=O)c1n[nH]c(C)c1COCC#N
Cn1nccc1-c1ccc(N2CCOC2=O)cc1,Cc1ccc(N(c2ccc(C(=O)Nc3c(C)cccc3C)cc2)[C@@H](C)S(C)(=O)=O)cc1C,Cn1c(CO)nc2cc(NC(=O)NC(=O)Cc3ccccc3)ccc21,O=C(OCc1ccccc1)[C@@H]1CCCN(c2nc([C@@H]3C[C@@H]4CCCc5cccc3c54)cs2)C1,CC1CCC(c2cc(Cc3ccc(-c4nccn4C)c(F)c3)on2)CC1
C[C@@H](NC(=O)N(C)Cc1ccc(F)cc1)C(C)(C)CNC(=O)C(C)(C)C,Cc1cc(/N=C/C(=O)CSc2nc3c(s2)CCC[C@H]3[NH3+])[nH+]c2ccccc12,Cc1noc(NC2CCCC2)c1C(=O)N[C@@H]1CCC(=O)N(C)C1=O,CCCC[C@@H](CC)C(=O)NC(=O)c1c(C)noc1-c1ccon1,CN(c1cccc(CC(=O)[NH2+]C2CCOCC2)c1)[C@H]1CCCC[C@H]1[N+](=O)[O-]
CC(C)CCc1ccc(OC[C@@H](C)C(N)=O)c(N)c1,COn1c(NC(=O)Nc2cccc(NOc3ccc4ccccc4c3)c2)nc2ccccc21,Cc1cc(F)ccc1NC(=O)[C@@H]1CC=CC[C@H]1C#CCO,CCCCCC(C)(C)CNC(=O)CN1CCNC(=O)CC1,COc1cc(COS(C)(=O)=O)c2ncccc2c1
CCN1C(=O)C[C@@H](SCc2cc3ccccc3o2)C1=O,O=C(CNc1ccccc1)c1nnc(Nc2ccccc2)s1,CCc1cccc(C(=O)Oc2ccc3c(c2)O/C(=C\n2nnc4ccccc42)C3=O)c1,CC/[NH+]=C(/NSCc1cnc2cc([C@H]3N=C(C)C=C3C)[nH]n2c1=O)NC(C)(C)C,Cc1ccc(-c2cc(C(=O)N3CCOc4ccccc43)[nH]n2)o1
Cc1ccc2c(c1)C(=O)N[C@@]1(CCC(=O)N(C[C@H]3CCCO3)CC1)O2,Cn1cc[nH+]c1CC(=O)N/C=C/CCC(=O)N/N=C/c1cn(C)c2ccccc12,CCCn1nnnc1[C@@H]1CCCc2ccccc21,CCC(CC)C(=O)OC[C@H]1C=C[C@@H](c2ccc(Cl)cc2)C1,Cc1cccc([C@H]([NH3+])C[C@H](C)[C@H](C)c2ccccc2)c1
